count_conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
None,119,32,52,exit,2015-12-01,2015-12-31,Q13b2,without_children,34
None,119,32,52,exit,2015-12-01,2015-12-31,Q13b2,with_only_children,1
None,119,32,52,exit,2015-12-01,2015-12-31,Q13b2,unknown_household_type,0
1 Condition,25,2,3,exit,2015-12-01,2015-12-31,Q13b2,without_children,20
1 Condition,25,2,3,exit,2015-12-01,2015-12-31,Q13b2,with_only_children,0
1 Condition,25,2,3,exit,2015-12-01,2015-12-31,Q13b2,unknown_household_type,0
2 Conditions,18,4,0,exit,2015-12-01,2015-12-31,Q13b2,without_children,14
2 Conditions,18,4,0,exit,2015-12-01,2015-12-31,Q13b2,with_only_children,0
2 Conditions,18,4,0,exit,2015-12-01,2015-12-31,Q13b2,unknown_household_type,0
3+ Conditions,7,0,0,exit,2015-12-01,2015-12-31,Q13b2,without_children,7
3+ Conditions,7,0,0,exit,2015-12-01,2015-12-31,Q13b2,with_only_children,0
3+ Conditions,7,0,0,exit,2015-12-01,2015-12-31,Q13b2,unknown_household_type,0
Condition Unknown,4,1,2,exit,2015-12-01,2015-12-31,Q13b2,without_children,1
Condition Unknown,4,1,2,exit,2015-12-01,2015-12-31,Q13b2,with_only_children,0
Condition Unknown,4,1,2,exit,2015-12-01,2015-12-31,Q13b2,unknown_household_type,0
Client Doesn't Know/Client Refused,0,0,0,exit,2015-12-01,2015-12-31,Q13b2,without_children,0
Client Doesn't Know/Client Refused,0,0,0,exit,2015-12-01,2015-12-31,Q13b2,with_only_children,0
Client Doesn't Know/Client Refused,0,0,0,exit,2015-12-01,2015-12-31,Q13b2,unknown_household_type,0
Data Not Collected,1,0,0,exit,2015-12-01,2015-12-31,Q13b2,without_children,1
Data Not Collected,1,0,0,exit,2015-12-01,2015-12-31,Q13b2,with_only_children,0
Data Not Collected,1,0,0,exit,2015-12-01,2015-12-31,Q13b2,unknown_household_type,0
