data_element,error_count,percent_of_error_rate,population,start_date,end_date,question
Destination (3.12),10,0.1,data_quality,2017-10-01,2017-10-31,Q6c
Income and Sources (4.2) at Start,51,0.14,data_quality,2017-10-01,2017-10-31,Q6c
Income and Sources (4.2) at Annual Assessment,74,0.65,data_quality,2017-10-01,2017-10-31,Q6c
Income and Sources (4.2) at Exit,9,0.15,data_quality,2017-10-01,2017-10-31,Q6c
