count_conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
None,134,30,52,exit,2015-03-01,2015-03-31,Q13b2,without_children,52
None,134,30,52,exit,2015-03-01,2015-03-31,Q13b2,with_only_children,0
None,134,30,52,exit,2015-03-01,2015-03-31,Q13b2,unknown_household_type,0
1 Condition,33,9,3,exit,2015-03-01,2015-03-31,Q13b2,without_children,21
1 Condition,33,9,3,exit,2015-03-01,2015-03-31,Q13b2,with_only_children,0
1 Condition,33,9,3,exit,2015-03-01,2015-03-31,Q13b2,unknown_household_type,0
2 Conditions,16,1,2,exit,2015-03-01,2015-03-31,Q13b2,without_children,13
2 Conditions,16,1,2,exit,2015-03-01,2015-03-31,Q13b2,with_only_children,0
2 Conditions,16,1,2,exit,2015-03-01,2015-03-31,Q13b2,unknown_household_type,0
3+ Conditions,6,0,0,exit,2015-03-01,2015-03-31,Q13b2,without_children,6
3+ Conditions,6,0,0,exit,2015-03-01,2015-03-31,Q13b2,with_only_children,0
3+ Conditions,6,0,0,exit,2015-03-01,2015-03-31,Q13b2,unknown_household_type,0
Condition Unknown,3,2,0,exit,2015-03-01,2015-03-31,Q13b2,without_children,1
Condition Unknown,3,2,0,exit,2015-03-01,2015-03-31,Q13b2,with_only_children,0
Condition Unknown,3,2,0,exit,2015-03-01,2015-03-31,Q13b2,unknown_household_type,0
Client Doesn't Know/Client Refused,1,0,1,exit,2015-03-01,2015-03-31,Q13b2,without_children,0
Client Doesn't Know/Client Refused,1,0,1,exit,2015-03-01,2015-03-31,Q13b2,with_only_children,0
Client Doesn't Know/Client Refused,1,0,1,exit,2015-03-01,2015-03-31,Q13b2,unknown_household_type,0
Data Not Collected,6,0,1,exit,2015-03-01,2015-03-31,Q13b2,without_children,5
Data Not Collected,6,0,1,exit,2015-03-01,2015-03-31,Q13b2,with_only_children,0
Data Not Collected,6,0,1,exit,2015-03-01,2015-03-31,Q13b2,unknown_household_type,0
