"""""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",22,19,3
"""31 to 60 days""",7,2,5
"""61 to 90 days""",3,0,3
"""91 to 180 days""",7,0,7
"""181 to 365 days""",10,2,8
"""366 to 730 Days (1-2 Yrs)""",10,0,10
"""731 to 1,095 Days (2-3 Yrs)""",3,0,3
"""1,096 to 1,460 Days (3-4 Yrs)""",2,0,2
"""1,461 to 1,825 Days (5-5 Yrs)""",3,0,3
"""More than 1,825 Days (>5 Yrs)""",0,0,0
"""Data Not Collected""",0,0,0
"""Total""",67,23,44
