"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",37,0.14
"""Income and Sources (4.2) at Start""",198,0.24
"""Income and Sources (4.2) at Annual Assessment""",180,0.77
"""Income and Sources (4.2) at Exit""",101,0.41
