, "Benefit at Entry" , "Benefit at Latest Annual Assessment for Stayers" , "Benefit at Exit for Leavers"
"""No Sources""",491,23,134
"""1 + Source(s)""",253,33,74
"""Client Doesn't Know/Client Refused""",1,0,1
"""Data Not Collected/Not stayed long enough for Annual Assessment""",95,536,39
"""Total""",840,592,248
