"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",139,136
"""1-3 days""",33,6
"""4-6 days""",11,13
"""7-10 days""",13,6
"""11+ days""",60,107
