, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",1757,1079,628,37,13
"""Hispanic/Latin(a)(o)(x)""",198,69,121,8,0
"""Client Doesn't Know/Client Refused""",12,10,1,0,1
"""Data Not Collected""",22,8,5,3,6
"""Total""",1989,1166,755,48,20
