"""""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",18,9,9
"""31 to 60 days""",5,0,5
"""61 to 90 days""",9,0,9
"""91 to 180 days""",15,0,15
"""181 to 365 days""",26,0,26
"""366 to 730 Days (1-2 Yrs)""",6,0,6
"""731 to 1,095 Days (2-3 Yrs)""",5,0,5
"""1,096 to 1,460 Days (3-4 Yrs)""",5,0,5
"""1,461 to 1,825 Days (5-5 Yrs)""",6,0,6
"""More than 1,825 Days (>5 Yrs)""",6,0,6
"""Data Not Collected""",0,0,0
"""Total""",101,9,92
