"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",322,254
"""1-3 days""",21,12
"""4-6 days""",11,10
"""7-10 days""",5,12
"""11+ days""",43,36
