data_element,number_of_records,number_of_inactive_records,percent_of_inactive_records,population,start_date,end_date,question
Contact (Adults and Heads of Household in Street Outreach or ES - NBN),88,74,0.84,data_quality,2021-09-01,2021-09-30,Q6f
Bed Night (All clients in ES - NBN),6,6,1.0,data_quality,2021-09-01,2021-09-30,Q6f
