count_conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
None,698,153,229,start,2021-09-01,2021-09-30,Q13a2,without_children,290
None,698,153,229,start,2021-09-01,2021-09-30,Q13a2,with_only_children,17
None,698,153,229,start,2021-09-01,2021-09-30,Q13a2,unknown_household_type,9
1 Condition,287,24,7,start,2021-09-01,2021-09-30,Q13a2,without_children,255
1 Condition,287,24,7,start,2021-09-01,2021-09-30,Q13a2,with_only_children,0
1 Condition,287,24,7,start,2021-09-01,2021-09-30,Q13a2,unknown_household_type,1
2 Conditions,129,5,1,start,2021-09-01,2021-09-30,Q13a2,without_children,123
2 Conditions,129,5,1,start,2021-09-01,2021-09-30,Q13a2,with_only_children,0
2 Conditions,129,5,1,start,2021-09-01,2021-09-30,Q13a2,unknown_household_type,0
3+ Conditions,113,2,0,start,2021-09-01,2021-09-30,Q13a2,without_children,111
3+ Conditions,113,2,0,start,2021-09-01,2021-09-30,Q13a2,with_only_children,0
3+ Conditions,113,2,0,start,2021-09-01,2021-09-30,Q13a2,unknown_household_type,0
Condition Unknown,99,9,6,start,2021-09-01,2021-09-30,Q13a2,without_children,83
Condition Unknown,99,9,6,start,2021-09-01,2021-09-30,Q13a2,with_only_children,1
Condition Unknown,99,9,6,start,2021-09-01,2021-09-30,Q13a2,unknown_household_type,0
Client Doesn't Know/Client Refused,3,0,1,start,2021-09-01,2021-09-30,Q13a2,without_children,2
Client Doesn't Know/Client Refused,3,0,1,start,2021-09-01,2021-09-30,Q13a2,with_only_children,0
Client Doesn't Know/Client Refused,3,0,1,start,2021-09-01,2021-09-30,Q13a2,unknown_household_type,0
Data Not Collected,96,11,54,start,2021-09-01,2021-09-30,Q13a2,without_children,22
Data Not Collected,96,11,54,start,2021-09-01,2021-09-30,Q13a2,with_only_children,6
Data Not Collected,96,11,54,start,2021-09-01,2021-09-30,Q13a2,unknown_household_type,3
