age_group,total_parenting_youth,total_children_of_parenting_youth,total_persons,total_households,population,start_date,end_date,question
Parent youth < 18,2,1,3,1,parenting_youth,2021-09-01,2021-09-30,Q27b
Parent youth 18 to 24,11,14,26,9,parenting_youth,2021-09-01,2021-09-30,Q27b
