data_element,error_count,percent_of_error_rate,population,start_date,end_date,question
Destination (3.12),5,0.02,data_quality,2022-02-01,2022-02-28,Q6c
Income and Sources (4.2) at Start,297,0.22,data_quality,2022-02-01,2022-02-28,Q6c
Income and Sources (4.2) at Annual Assessment,355,0.77,data_quality,2022-02-01,2022-02-28,Q6c
Income and Sources (4.2) at Exit,66,0.43,data_quality,2022-02-01,2022-02-28,Q6c
