data_element,number_of_records,number_of_inactive_records,percent_of_inactive_records,population,start_date,end_date,question
Contact (Adults and Heads of Household in Street Outreach or ES - NBN),261,256,0.98,data_quality,2022-02-01,2022-02-28,Q6f
Bed Night (All clients in ES - NBN),152,111,0.73,data_quality,2022-02-01,2022-02-28,Q6f
