data_element,client_doesn_t_know_refused,information_missing,data_issues,total,percent_of_error_rate,population,start_date,end_date,question
Name (3.1),3,0,8,11,0.01,data_quality,2022-02-01,2022-02-28,Q6a
Social Security Number (3.2),86,105,73,264,0.15,data_quality,2022-02-01,2022-02-28,Q6a
Date of Birth (3.3),4,16,0,20,0.01,data_quality,2022-02-01,2022-02-28,Q6a
Race (3.4),5,19,0,24,0.01,data_quality,2022-02-01,2022-02-28,Q6a
Ethinicity (3.5),6,16,0,22,0.01,data_quality,2022-02-01,2022-02-28,Q6a
Gender (3.6),0,9,0,9,0.01,data_quality,2022-02-01,2022-02-28,Q6a
Overall Score,0,0,0,286,0.17,data_quality,2022-02-01,2022-02-28,Q6a
