"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",50,79
"""1-3 days""",15,5
"""4-6 days""",25,11
"""7-10 days""",22,14
"""11+ days""",58,54
