"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",7,0.04
"""Income and Sources (4.2) at Start""",53,0.12
"""Income and Sources (4.2) at Annual Assessment""",94,0.75
"""Income and Sources (4.2) at Exit""",12,0.1
