, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",504,317,177,9,1
"""Hispanic/Latin(a)(o)(x)""",59,32,26,1,0
"""Client Doesn't Know/Client Refused""",1,1,0,0,0
"""Data Not Collected""",2,0,0,0,2
"""Total""",566,350,203,10,3
