count_conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
None,104,31,33,exit,2015-04-01,2015-04-30,Q13b2,without_children,40
None,104,31,33,exit,2015-04-01,2015-04-30,Q13b2,with_only_children,0
None,104,31,33,exit,2015-04-01,2015-04-30,Q13b2,unknown_household_type,0
1 Condition,36,3,3,exit,2015-04-01,2015-04-30,Q13b2,without_children,30
1 Condition,36,3,3,exit,2015-04-01,2015-04-30,Q13b2,with_only_children,0
1 Condition,36,3,3,exit,2015-04-01,2015-04-30,Q13b2,unknown_household_type,0
2 Conditions,16,1,0,exit,2015-04-01,2015-04-30,Q13b2,without_children,15
2 Conditions,16,1,0,exit,2015-04-01,2015-04-30,Q13b2,with_only_children,0
2 Conditions,16,1,0,exit,2015-04-01,2015-04-30,Q13b2,unknown_household_type,0
3+ Conditions,6,1,0,exit,2015-04-01,2015-04-30,Q13b2,without_children,5
3+ Conditions,6,1,0,exit,2015-04-01,2015-04-30,Q13b2,with_only_children,0
3+ Conditions,6,1,0,exit,2015-04-01,2015-04-30,Q13b2,unknown_household_type,0
Condition Unknown,4,0,0,exit,2015-04-01,2015-04-30,Q13b2,without_children,4
Condition Unknown,4,0,0,exit,2015-04-01,2015-04-30,Q13b2,with_only_children,0
Condition Unknown,4,0,0,exit,2015-04-01,2015-04-30,Q13b2,unknown_household_type,0
Client Doesn't Know/Client Refused,0,0,0,exit,2015-04-01,2015-04-30,Q13b2,without_children,0
Client Doesn't Know/Client Refused,0,0,0,exit,2015-04-01,2015-04-30,Q13b2,with_only_children,0
Client Doesn't Know/Client Refused,0,0,0,exit,2015-04-01,2015-04-30,Q13b2,unknown_household_type,0
Data Not Collected,15,0,0,exit,2015-04-01,2015-04-30,Q13b2,without_children,15
Data Not Collected,15,0,0,exit,2015-04-01,2015-04-30,Q13b2,with_only_children,0
Data Not Collected,15,0,0,exit,2015-04-01,2015-04-30,Q13b2,unknown_household_type,0
