"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",37,0.17
"""Income and Sources (4.2) at Start""",287,0.22
"""Income and Sources (4.2) at Annual Assessment""",344,0.77
"""Income and Sources (4.2) at Exit""",66,0.35
