"""""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",17,4,13
"""31 to 60 days""",17,3,14
"""61 to 90 days""",8,0,8
"""91 to 180 days""",16,0,16
"""181 to 365 days""",6,1,5
"""366 to 730 Days (1-2 Yrs)""",9,0,9
"""731 to 1,095 Days (2-3 Yrs)""",6,0,6
"""1,096 to 1,460 Days (3-4 Yrs)""",5,0,5
"""1,461 to 1,825 Days (5-5 Yrs)""",1,0,1
"""More than 1,825 Days (>5 Yrs)""",6,0,6
"""Data Not Collected""",0,0,0
"""Total""",91,8,83
