, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",1477,986,453,25,13
"""Hispanic/Latin(a)(o)(x)""",155,54,95,6,0
"""Client Doesn't Know/Client Refused""",8,5,1,0,2
"""Data Not Collected""",15,4,6,1,4
"""Total""",1655,1049,555,32,19
