"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",153,116
"""1-3 days""",21,26
"""4-6 days""",5,15
"""7-10 days""",17,7
"""11+ days""",60,57
