, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",1033,666,342,14,11
"""Hispanic/Latin(a)(o)(x)""",93,37,54,2,0
"""Client Doesn't Know/Client Refused""",2,1,1,0,0
"""Data Not Collected""",6,2,1,0,3
"""Total""",1134,706,398,16,14
