, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""White""",761,502,244,9,6
"""Black, African American, or African""",267,163,98,4,2
"""Asian or Asian American""",5,2,0,0,3
"""American Indian, Alaska Native, or Indigenous""",3,3,0,0,0
"""Native Hawaiian or Pacific Islander""",7,4,3,0,0
"""Multiple Races""",74,25,46,3,0
"""Client Doesn't Know/Client Refused""",5,5,0,0,0
"""Data Not Collected""",12,2,7,0,3
"""Total""",1134,706,398,16,14
