"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",185,143
"""1-3 days""",38,5
"""4-6 days""",11,3
"""7-10 days""",10,5
"""11+ days""",43,68
