"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",19,0.08
"""Income and Sources (4.2) at Start""",193,0.22
"""Income and Sources (4.2) at Annual Assessment""",237,0.8
"""Income and Sources (4.2) at Exit""",92,0.49
