, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",833,533,283,14,3
"""Hispanic/Latin(a)(o)(x)""",89,35,54,0,0
"""Client Doesn't Know/Client Refused""",1,0,1,0,0
"""Data Not Collected""",2,0,1,0,1
"""Total""",925,568,339,14,4
