"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",223,221
"""1-3 days""",10,20
"""4-6 days""",23,0
"""7-10 days""",5,11
"""11+ days""",30,53
