"""Length""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",339,221,118
"""31 to 60 days""",116,22,94
"""61 to 90 days""",71,10,61
"""91 to 180 days""",119,29,90
"""181 to 365 days""",116,16,100
"""366 to 730 Days (1-2 Yrs)""",74,9,65
"""731 to 1,095 Days (2-3 Yrs)""",26,0,26
"""1,096 to 1,460 Days (3-4 Yrs)""",22,0,22
"""1,461 to 1,825 Days (5-5 Yrs)""",8,0,8
"""More than 1,825 Days (>5 Yrs)""",34,0,34
"""Data Not Collected""",0,0,0
"""Total""",925,307,618
