, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""January""",0,0,0,0,0
"""April""",221,192,29,0,0
"""July""",0,0,0,0,0
"""October""",0,0,0,0,0
