, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",466,313,150,2,1
"""Hispanic/Latin(a)(o)(x)""",47,23,24,0,0
"""Client Doesn't Know/Client Refused""",1,1,0,0,0
"""Data Not Collected""",2,1,0,0,1
"""Total""",516,338,174,2,2
