"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",97,60
"""1-3 days""",4,2
"""4-6 days""",12,23
"""7-10 days""",19,20
"""11+ days""",33,76
