"""Length""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",193,129,64
"""31 to 60 days""",41,11,30
"""61 to 90 days""",47,20,27
"""91 to 180 days""",59,16,43
"""181 to 365 days""",72,4,68
"""366 to 730 Days (1-2 Yrs)""",17,1,16
"""731 to 1,095 Days (2-3 Yrs)""",14,0,14
"""1,096 to 1,460 Days (3-4 Yrs)""",14,0,14
"""1,461 to 1,825 Days (5-5 Yrs)""",10,0,10
"""More than 1,825 Days (>5 Yrs)""",49,0,49
"""Data Not Collected""",0,0,0
"""Total""",516,181,335
