, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""January""",0,0,0,0,0
"""April""",342,224,114,2,2
"""July""",0,0,0,0,0
"""October""",0,0,0,0,0
