data_element,number_of_records,number_of_inactive_records,percent_of_inactive_records,population,start_date,end_date,question
Contact (Adults and Heads of Household in Street Outreach or ES - NBN),191,175,0.92,data_quality,2021-12-01,2021-12-31,Q6f
Bed Night (All clients in ES - NBN),100,78,0.78,data_quality,2021-12-01,2021-12-31,Q6f
