count_conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
None,119,23,31,exit,2021-12-01,2021-12-31,Q13b2,without_children,65
None,119,23,31,exit,2021-12-01,2021-12-31,Q13b2,with_only_children,0
None,119,23,31,exit,2021-12-01,2021-12-31,Q13b2,unknown_household_type,0
1 Condition,37,5,0,exit,2021-12-01,2021-12-31,Q13b2,without_children,32
1 Condition,37,5,0,exit,2021-12-01,2021-12-31,Q13b2,with_only_children,0
1 Condition,37,5,0,exit,2021-12-01,2021-12-31,Q13b2,unknown_household_type,0
2 Conditions,17,0,0,exit,2021-12-01,2021-12-31,Q13b2,without_children,17
2 Conditions,17,0,0,exit,2021-12-01,2021-12-31,Q13b2,with_only_children,0
2 Conditions,17,0,0,exit,2021-12-01,2021-12-31,Q13b2,unknown_household_type,0
3+ Conditions,23,0,0,exit,2021-12-01,2021-12-31,Q13b2,without_children,23
3+ Conditions,23,0,0,exit,2021-12-01,2021-12-31,Q13b2,with_only_children,0
3+ Conditions,23,0,0,exit,2021-12-01,2021-12-31,Q13b2,unknown_household_type,0
Condition Unknown,32,7,1,exit,2021-12-01,2021-12-31,Q13b2,without_children,24
Condition Unknown,32,7,1,exit,2021-12-01,2021-12-31,Q13b2,with_only_children,0
Condition Unknown,32,7,1,exit,2021-12-01,2021-12-31,Q13b2,unknown_household_type,0
Client Doesn't Know/Client Refused,3,0,0,exit,2021-12-01,2021-12-31,Q13b2,without_children,0
Client Doesn't Know/Client Refused,3,0,0,exit,2021-12-01,2021-12-31,Q13b2,with_only_children,0
Client Doesn't Know/Client Refused,3,0,0,exit,2021-12-01,2021-12-31,Q13b2,unknown_household_type,3
Data Not Collected,27,1,21,exit,2021-12-01,2021-12-31,Q13b2,without_children,5
Data Not Collected,27,1,21,exit,2021-12-01,2021-12-31,Q13b2,with_only_children,0
Data Not Collected,27,1,21,exit,2021-12-01,2021-12-31,Q13b2,unknown_household_type,0
