count_conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
None,682,156,212,stayers,2021-12-01,2021-12-31,Q13c2,without_children,285
None,682,156,212,stayers,2021-12-01,2021-12-31,Q13c2,with_only_children,19
None,682,156,212,stayers,2021-12-01,2021-12-31,Q13c2,unknown_household_type,10
1 Condition,311,25,10,stayers,2021-12-01,2021-12-31,Q13c2,without_children,275
1 Condition,311,25,10,stayers,2021-12-01,2021-12-31,Q13c2,with_only_children,0
1 Condition,311,25,10,stayers,2021-12-01,2021-12-31,Q13c2,unknown_household_type,1
2 Conditions,133,6,1,stayers,2021-12-01,2021-12-31,Q13c2,without_children,126
2 Conditions,133,6,1,stayers,2021-12-01,2021-12-31,Q13c2,with_only_children,0
2 Conditions,133,6,1,stayers,2021-12-01,2021-12-31,Q13c2,unknown_household_type,0
3+ Conditions,104,1,0,stayers,2021-12-01,2021-12-31,Q13c2,without_children,103
3+ Conditions,104,1,0,stayers,2021-12-01,2021-12-31,Q13c2,with_only_children,0
3+ Conditions,104,1,0,stayers,2021-12-01,2021-12-31,Q13c2,unknown_household_type,0
Condition Unknown,67,4,4,stayers,2021-12-01,2021-12-31,Q13c2,without_children,58
Condition Unknown,67,4,4,stayers,2021-12-01,2021-12-31,Q13c2,with_only_children,1
Condition Unknown,67,4,4,stayers,2021-12-01,2021-12-31,Q13c2,unknown_household_type,0
Client Doesn't Know/Client Refused,6,0,0,stayers,2021-12-01,2021-12-31,Q13c2,without_children,5
Client Doesn't Know/Client Refused,6,0,0,stayers,2021-12-01,2021-12-31,Q13c2,with_only_children,0
Client Doesn't Know/Client Refused,6,0,0,stayers,2021-12-01,2021-12-31,Q13c2,unknown_household_type,1
Data Not Collected,109,19,50,stayers,2021-12-01,2021-12-31,Q13c2,without_children,24
Data Not Collected,109,19,50,stayers,2021-12-01,2021-12-31,Q13c2,with_only_children,10
Data Not Collected,109,19,50,stayers,2021-12-01,2021-12-31,Q13c2,unknown_household_type,6
