, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",544,318,215,10,1
"""Hispanic/Latin(a)(o)(x)""",36,23,11,2,0
"""Client Doesn't Know/Client Refused""",1,0,0,1,0
"""Data Not Collected""",2,0,0,0,2
"""Total""",583,341,226,13,3
