"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",24,49
"""1-3 days""",5,4
"""4-6 days""",3,2
"""7-10 days""",4,2
"""11+ days""",108,86
