"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",6,0.04
"""Income and Sources (4.2) at Start""",52,0.12
"""Income and Sources (4.2) at Annual Assessment""",75,0.66
"""Income and Sources (4.2) at Exit""",14,0.13
