count_conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
None,393,96,152,stayers,2020-07-01,2020-07-31,Q13c2,without_children,125
None,393,96,152,stayers,2020-07-01,2020-07-31,Q13c2,with_only_children,12
None,393,96,152,stayers,2020-07-01,2020-07-31,Q13c2,unknown_household_type,8
1 Condition,183,20,8,stayers,2020-07-01,2020-07-31,Q13c2,without_children,154
1 Condition,183,20,8,stayers,2020-07-01,2020-07-31,Q13c2,with_only_children,0
1 Condition,183,20,8,stayers,2020-07-01,2020-07-31,Q13c2,unknown_household_type,1
2 Conditions,89,5,3,stayers,2020-07-01,2020-07-31,Q13c2,without_children,81
2 Conditions,89,5,3,stayers,2020-07-01,2020-07-31,Q13c2,with_only_children,0
2 Conditions,89,5,3,stayers,2020-07-01,2020-07-31,Q13c2,unknown_household_type,0
3+ Conditions,65,1,0,stayers,2020-07-01,2020-07-31,Q13c2,without_children,64
3+ Conditions,65,1,0,stayers,2020-07-01,2020-07-31,Q13c2,with_only_children,0
3+ Conditions,65,1,0,stayers,2020-07-01,2020-07-31,Q13c2,unknown_household_type,0
Condition Unknown,22,1,1,stayers,2020-07-01,2020-07-31,Q13c2,without_children,20
Condition Unknown,22,1,1,stayers,2020-07-01,2020-07-31,Q13c2,with_only_children,0
Condition Unknown,22,1,1,stayers,2020-07-01,2020-07-31,Q13c2,unknown_household_type,0
Client Doesn't Know/Client Refused,0,0,0,stayers,2020-07-01,2020-07-31,Q13c2,without_children,0
Client Doesn't Know/Client Refused,0,0,0,stayers,2020-07-01,2020-07-31,Q13c2,with_only_children,0
Client Doesn't Know/Client Refused,0,0,0,stayers,2020-07-01,2020-07-31,Q13c2,unknown_household_type,0
Data Not Collected,50,9,25,stayers,2020-07-01,2020-07-31,Q13c2,without_children,10
Data Not Collected,50,9,25,stayers,2020-07-01,2020-07-31,Q13c2,with_only_children,3
Data Not Collected,50,9,25,stayers,2020-07-01,2020-07-31,Q13c2,unknown_household_type,3
