"""Length""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",274,155,119
"""31 to 60 days""",108,34,74
"""61 to 90 days""",57,11,46
"""91 to 180 days""",122,15,107
"""181 to 365 days""",211,6,205
"""366 to 730 Days (1-2 Yrs)""",167,1,166
"""731 to 1,095 Days (2-3 Yrs)""",54,0,54
"""1,096 to 1,460 Days (3-4 Yrs)""",24,0,24
"""1,461 to 1,825 Days (5-5 Yrs)""",20,0,20
"""More than 1,825 Days (>5 Yrs)""",36,0,36
"""Data Not Collected""",0,0,0
"""Total""",1073,222,851
