"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",117,124
"""1-3 days""",12,1
"""4-6 days""",12,4
"""7-10 days""",9,4
"""11+ days""",97,89
