"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",26,0.12
"""Income and Sources (4.2) at Start""",174,0.21
"""Income and Sources (4.2) at Annual Assessment""",172,0.76
"""Income and Sources (4.2) at Exit""",71,0.36
