, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",979,639,318,13,9
"""Hispanic/Latin(a)(o)(x)""",85,35,48,2,0
"""Client Doesn't Know/Client Refused""",3,2,1,0,0
"""Data Not Collected""",6,2,1,0,3
"""Total""",1073,678,368,15,12
