"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",37,0.27
"""Income and Sources (4.2) at Start""",51,0.13
"""Income and Sources (4.2) at Annual Assessment""",94,0.72
"""Income and Sources (4.2) at Exit""",8,0.08
