"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",62,76
"""1-3 days""",23,17
"""4-6 days""",24,9
"""7-10 days""",5,3
"""11+ days""",31,33
