"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",41,61
"""1-3 days""",17,14
"""4-6 days""",7,13
"""7-10 days""",17,7
"""11+ days""",37,84
