, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",526,259,257,9,1
"""Hispanic/Latin(a)(o)(x)""",50,33,16,1,0
"""Client Doesn't Know/Client Refused""",2,1,1,0,0
"""Data Not Collected""",2,0,0,0,2
"""Total""",580,293,274,10,3
