"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",39,0.22
"""Income and Sources (4.2) at Start""",59,0.14
"""Income and Sources (4.2) at Annual Assessment""",75,0.66
"""Income and Sources (4.2) at Exit""",21,0.18
