"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",57,20
"""1-3 days""",9,9
"""4-6 days""",5,5
"""7-10 days""",13,9
"""11+ days""",38,53
