, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",469,229,228,11,1
"""Hispanic/Latin(a)(o)(x)""",45,22,21,2,0
"""Client Doesn't Know/Client Refused""",1,0,1,0,0
"""Data Not Collected""",2,0,0,0,2
"""Total""",517,251,250,13,3
