, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""January""",0,0,0,0,0
"""April""",0,0,0,0,0
"""July""",0,0,0,0,0
"""October""",245,195,50,0,0
