, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",1094,721,348,14,11
"""Hispanic/Latin(a)(o)(x)""",104,48,54,2,0
"""Client Doesn't Know/Client Refused""",1,0,1,0,0
"""Data Not Collected""",6,2,1,0,3
"""Total""",1205,771,404,16,14
