"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",27,0.13
"""Income and Sources (4.2) at Start""",210,0.22
"""Income and Sources (4.2) at Annual Assessment""",242,0.8
"""Income and Sources (4.2) at Exit""",94,0.52
