"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",164,142
"""1-3 days""",15,2
"""4-6 days""",10,4
"""7-10 days""",10,1
"""11+ days""",96,58
