"""Length""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",321,171,150
"""31 to 60 days""",110,15,95
"""61 to 90 days""",58,5,53
"""91 to 180 days""",143,9,134
"""181 to 365 days""",128,7,121
"""366 to 730 Days (1-2 Yrs)""",249,0,249
"""731 to 1,095 Days (2-3 Yrs)""",97,0,97
"""1,096 to 1,460 Days (3-4 Yrs)""",31,0,31
"""1,461 to 1,825 Days (5-5 Yrs)""",31,0,31
"""More than 1,825 Days (>5 Yrs)""",37,0,37
"""Data Not Collected""",0,0,0
"""Total""",1205,207,998
