data_element,number_of_records,number_of_inactive_records,percent_of_inactive_records,population,start_date,end_date,question
Contact (Adults and Heads of Household in Street Outreach or ES - NBN),276,269,0.97,data_quality,2022-03-01,2022-03-31,Q6f
Bed Night (All clients in ES - NBN),169,131,0.78,data_quality,2022-03-01,2022-03-31,Q6f
