data_element,client_doesn_t_know_refused,information_missing,data_issues,total,percent_of_error_rate,population,start_date,end_date,question
Name (3.1),3,0,11,14,0.01,data_quality,2022-03-01,2022-03-31,Q6a
Social Security Number (3.2),115,115,86,316,0.17,data_quality,2022-03-01,2022-03-31,Q6a
Date of Birth (3.3),4,17,0,21,0.01,data_quality,2022-03-01,2022-03-31,Q6a
Race (3.4),6,20,0,26,0.01,data_quality,2022-03-01,2022-03-31,Q6a
Ethinicity (3.5),9,17,0,26,0.01,data_quality,2022-03-01,2022-03-31,Q6a
Gender (3.6),0,9,0,9,0.0,data_quality,2022-03-01,2022-03-31,Q6a
Overall Score,0,0,0,339,0.18,data_quality,2022-03-01,2022-03-31,Q6a
