"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",31,0.25
"""Income and Sources (4.2) at Start""",53,0.12
"""Income and Sources (4.2) at Annual Assessment""",61,0.57
"""Income and Sources (4.2) at Exit""",10,0.12
