"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",42,18
"""1-3 days""",12,0
"""4-6 days""",8,4
"""7-10 days""",5,0
"""11+ days""",107,104
