"""Length""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",287,173,114
"""31 to 60 days""",105,24,81
"""61 to 90 days""",93,12,81
"""91 to 180 days""",180,19,161
"""181 to 365 days""",112,6,106
"""366 to 730 Days (1-2 Yrs)""",269,2,267
"""731 to 1,095 Days (2-3 Yrs)""",97,1,96
"""1,096 to 1,460 Days (3-4 Yrs)""",36,0,36
"""1,461 to 1,825 Days (5-5 Yrs)""",27,0,27
"""More than 1,825 Days (>5 Yrs)""",43,0,43
"""Data Not Collected""",0,0,0
"""Total""",1249,237,1012
